STATE,CLASSIFICATION BASED ON SECTOR,YEAR,total_value_actuals,v_2013,v_2022,n_years,cagr,v_2023_calc
Andhra Pradesh,PRIMARY SECTOR,2022,3.91597E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2023,4.34849E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2024,4.63359E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,SECONDARY SECTOR,2013,7.23856E+11,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2014,7.4976E+11,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2015,9.21304E+11,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2016,9.6753E+11,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2017,1.03152E+12,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2018,1.17548E+12,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2019,1.36796E+12,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2020,1.31232E+12,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2021,1.68154E+12,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2022,2.03472E+12,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2023,2.3159E+12,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,SECONDARY SECTOR,2024,2.50321E+12,7.23856E+11,2.03472E+12,9,0.121689353,2.32E+12
Andhra Pradesh,TERTIARY SECTOR,2013,1.48293E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2014,1.68884E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2015,1.91481E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2016,2.23459E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2017,2.352E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2018,2.62742E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2019,2.96065E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2020,3.21179E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2021,2.98424E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2022,3.58141E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2023,4.20836E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Andhra Pradesh,TERTIARY SECTOR,2024,4.67287E+12,1.48293E+12,3.58141E+12,9,0.102930262,4.21E+12
Arunachal Pradesh,PRIMARY SECTOR,2013,56455400000,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2014,62722200000,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2015,74439500000,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2016,76154100000,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2017,72190900000,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2018,74879400000,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2019,93879900000,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2020,1.16588E+11,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2021,1.13608E+11,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2022,1.2555E+11,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2023,1.3865E+11,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,PRIMARY SECTOR,2024,1.51526E+11,56455400000,1.2555E+11,9,0.092868418,1.39E+11
Arunachal Pradesh,SECONDARY SECTOR,2013,17195000000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2014,19342500000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2015,32732200000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2016,28202400000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2017,32316300000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2018,38755900000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2019,36064500000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2020,38898100000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2021,39800200000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2022,51522700000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2023,63500000000,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,SECONDARY SECTOR,2024,71734633630,17195000000,51522700000,9,0.12967927,6.35E+10
Arunachal Pradesh,TERTIARY SECTOR,2013,41091100000,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2014,48663900000,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2015,53567400000,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2016,59968100000,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2017,69150100000,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2018,83006700000,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2019,88506000000,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2020,1.02834E+11,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2021,1.03995E+11,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2022,1.16428E+11,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2023,1.3616E+11,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Arunachal Pradesh,TERTIARY SECTOR,2024,1.52864E+11,41091100000,1.16428E+11,9,0.122681451,1.36E+11
Assam,PRIMARY SECTOR,2013,4.40404E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2014,4.6131E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2015,4.81696E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2016,6.32054E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2017,6.37724E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2018,6.9102E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2019,7.66973E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2020,9.84703E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2021,9.60252E+11,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2022,1.25285E+12,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2023,1.36793E+12,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,PRIMARY SECTOR,2024,1.48086E+12,4.40404E+11,1.25285E+12,9,0.123180661,1.37E+12
Assam,SECONDARY SECTOR,2013,2.64521E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2014,3.27336E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2015,3.45423E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2016,3.89603E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2017,4.71901E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2018,5.44918E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2019,5.59705E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2020,5.55837E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2021,5.9026E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2022,7.23361E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2023,7.8775E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,SECONDARY SECTOR,2024,8.9518E+11,2.64521E+11,7.23361E+11,9,0.118262861,7.88E+11
Assam,TERTIARY SECTOR,2013,6.32925E+11,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2014,7.16819E+11,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2015,7.8708E+11,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2016,8.63587E+11,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2017,9.4367E+11,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2018,1.09673E+12,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2019,1.16769E+12,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2020,1.29098E+12,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2021,1.17445E+12,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2022,1.33869E+12,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2023,1.65661E+12,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Assam,TERTIARY SECTOR,2024,1.92526E+12,6.32925E+11,1.33869E+12,9,0.086794899,1.66E+12
Bihar,PRIMARY SECTOR,2013,7.2005E+11,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2014,6.91659E+11,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2015,7.27864E+11,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2016,7.94983E+11,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2017,9.31101E+11,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2018,1.04573E+12,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2019,1.07393E+12,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2020,1.24996E+12,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2021,1.40735E+12,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2022,1.48537E+12,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2023,1.69863E+12,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,PRIMARY SECTOR,2024,1.84094E+12,7.2005E+11,1.48537E+12,9,0.083780226,1.70E+12
Bihar,SECONDARY SECTOR,2013,3.77135E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2014,5.15364E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2015,6.04255E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2016,5.71097E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2017,6.57815E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2018,7.244E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2019,7.81316E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2020,8.29866E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2021,8.2472E+11,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2022,1.03831E+12,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2023,1.14618E+12,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,SECONDARY SECTOR,2024,1.28269E+12,3.77135E+11,1.03831E+12,9,0.119103549,1.15E+12
Bihar,TERTIARY SECTOR,2013,1.4594E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2014,1.61025E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2015,1.74769E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2016,1.96064E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2017,2.15393E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2018,2.43784E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2019,2.80455E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2020,3.02541E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2021,2.76152E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2022,3.29371E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2023,3.86322E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Bihar,TERTIARY SECTOR,2024,4.22891E+12,1.4594E+12,3.29371E+12,9,0.094659848,3.86E+12
Chandigarh,PRIMARY SECTOR,2013,1266397000,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2014,1386564180,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2015,1537978480,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2016,1735392400,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2017,1657101730,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2018,1764500000,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2019,2020300000,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2020,2526200000,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2021,2564700000,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2022,2836100000,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2023,2890000000,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,PRIMARY SECTOR,2024,3160847794,1266397000,2836100000,9,0.09371896,2.89E+09
Chandigarh,SECONDARY SECTOR,2013,23336510100,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2014,26712159200,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2015,24107920510,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2016,27227178680,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2017,28336003800,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2018,29009900000,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2019,35140800000,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2020,36719600000,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2021,32992700000,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2022,37991900000,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2023,42200000000,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,SECONDARY SECTOR,2024,44548151174,23336510100,37991900000,9,0.055643393,4.22E+10
Chandigarh,TERTIARY SECTOR,2013,1.69992E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2014,1.92899E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2015,2.091E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2016,2.24879E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2017,2.52502E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2018,2.71737E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2019,2.95859E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2020,3.2435E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2021,2.88337E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2022,3.3806E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2023,4.0215E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chandigarh,TERTIARY SECTOR,2024,4.34072E+11,1.69992E+11,3.3806E+11,9,0.079379067,4.02E+11
Chhattisgarh,PRIMARY SECTOR,2013,4.64958E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2014,5.17762E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2015,5.77413E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2016,5.66968E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2017,6.78459E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2018,7.0205E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2019,8.03694E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2020,8.39635E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2021,9.01201E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2022,9.83213E+11,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2023,1.0955E+12,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,PRIMARY SECTOR,2024,1.1893E+12,4.64958E+11,9.83213E+11,9,0.08676857,1.10E+12
Chhattisgarh,SECONDARY SECTOR,2013,4.91195E+11,4.91195E+11,1.27728E+12,9,0.112025422,1.42E+12
Chhattisgarh,SECONDARY SECTOR,2014,6.28046E+11,4.91195E+11,1.27728E+12,9,0.112025422,1.42E+12
Chhattisgarh,SECONDARY SECTOR,2015,6.21264E+11,4.91195E+11,1.27728E+12,9,0.112025422,1.42E+12
Chhattisgarh,SECONDARY SECTOR,2016,6.14505E+11,4.91195E+11,1.27728E+12,9,0.112025422,1.42E+12
Chhattisgarh,SECONDARY SECTOR,2017,6.47242E+11,4.91195E+11,1.27728E+12,9,0.112025422,1.42E+12
Chhattisgarh,SECONDARY SECTOR,2018,7.80832E+11,4.91195E+11,1.27728E+12,9,0.112025422,1.42E+12
Chhattisgarh,SECONDARY SECTOR,2019,9.55084E+11,4.91195E+11,1.27728E+12,9,0.112025422,1.42E+12
Chhattisgarh,SECONDARY SECTOR,2020,9.86232E+11,4.91195E+11,1.27728E+12,9,0.112025422,1.42E+12
